cohort_month,cohort_size,M1_retention,M1_churn,M1_observed,M3_retention,M3_churn,M3_observed,M6_retention,M6_churn,M6_observed,M12_retention,M12_churn,M12_observed
2024-01,2216,0.9296,0.0704,True,0.889,0.111,True,0.8533,0.1467,True,0.7685,0.2315,True
2024-02,2110,0.9019,0.0981,True,0.8626,0.1374,True,0.8213,0.1787,True,0.727,0.273,True
2024-03,2277,0.8753,0.1247,True,0.8472,0.1528,True,0.7975,0.2025,True,0.7022,0.2978,True
2024-04,2213,0.8712,0.1288,True,0.836,0.164,True,0.7976,0.2024,True,0.6968,0.3032,True
2024-05,2264,0.8547,0.1453,True,0.8158,0.1842,True,0.7787,0.2213,True,0.6837,0.3163,True
2024-06,2113,0.8372,0.1628,True,0.8069,0.1931,True,0.7629,0.2371,True,0.6697,0.3303,True
2024-07,2317,0.8243,0.1757,True,0.8006,0.1994,True,0.7691,0.2309,True,,,False
2024-08,2228,0.8043,0.1957,True,0.7724,0.2276,True,0.7401,0.2599,True,,,False
2024-09,2132,0.7936,0.2064,True,0.7678,0.2322,True,0.7298,0.2702,True,,,False
2024-10,130,0.7846,0.2154,True,0.7615,0.2385,True,0.7231,0.2769,True,,,False
Overall,20000,0.8542,0.1458,True,0.8216,0.1784,True,0.7831,0.2169,True,0.708,0.292,True
