customer_id,segment,uplift_score,predicted_clv,priority_score,allocated_budget,expected_gain,expected_roi
C018239,Persuadables,0.736876,4922943.11685128,0.917124,5000,3627598.63,724.5197
C009230,Persuadables,0.686177,5007065.770383336,0.908734,5000,3435733.37,686.1467
C015807,Persuadables,0.669054,4441117.454369677,0.873157,5000,2971347.4,593.2695
C017235,Persuadables,0.651823,4100456.4345803424,0.849964,5000,2672771.81,533.5544
C017349,Persuadables,0.579617,4183266.290088997,0.835975,5000,2424692.26,483.9385
C011352,Persuadables,0.297182,5352047.489995317,0.827803,5000,1590532.18,317.1064
C003764,Persuadables,0.556247,3899636.052498237,0.814347,5000,2169160.86,432.8322
C012975,Persuadables,0.476526,3747725.340331808,0.785497,5000,1785888.57,356.1777
C016701,Persuadables,0.039182,4485275.527615954,0.713772,5000,175742.07,34.1484
C001738,Persuadables,0.947367,135667.00761987944,0.707474,5000,128526.45,24.7053
C015721,Persuadables,0.063479,4155895.7193959183,0.701869,5000,263812.1,51.7624
C011674,Persuadables,0.02405,3925133.869668393,0.679027,5000,94399.47,17.8799
C002960,Persuadables,0.841964,59044.02375822295,0.676174,5000,49712.94,8.9426
C005942,Persuadables,0.662654,843720.641100744,0.673336,5000,559094.86,110.819
C013234,Persuadables,0.812644,0.0,0.665389,5000,0.0,-1.0
C014682,Persuadables,0.700249,224114.13142660295,0.64886,5000,156935.7,30.3871
C013232,Persuadables,0.689977,183712.9330154074,0.643996,5000,126757.7,24.3515
C019029,Persuadables,0.702224,105749.98214846553,0.642847,5000,74260.18,13.852
C003630,Persuadables,0.56209,756995.5826869472,0.642723,5000,425499.65,84.0999
C006270,Persuadables,0.670295,223308.25344126584,0.641121,5000,149682.41,28.9365
C014926,Persuadables,0.638731,352192.09226510744,0.640112,5000,224956.01,43.9912
C000081,Persuadables,0.654576,243575.685964805,0.638199,5000,159438.8,30.8878
C002814,Sure Things,0.001392,5445726.829741647,0.636974,5000,7580.45,0.5161
C013785,Persuadables,0.696292,0.0,0.635498,5000,0.0,-1.0
C003233,Sure Things,0.001392,5405351.191118892,0.63475,5000,7524.25,0.5048
C013243,Persuadables,0.490887,912466.998716074,0.632995,5000,447918.19,88.5836
C019251,Persuadables,0.555999,585944.1091675896,0.631735,5000,325784.34,64.1569
C018390,Sure Things,0.001392,5337067.345123667,0.630988,5000,7429.2,0.4858
C001220,Sure Things,0.001376,5325531.00446436,0.630349,5000,7327.93,0.4656
C001728,Sure Things,0.001376,5324235.82660987,0.630277,5000,7326.15,0.4652
C000249,Persuadables,0.606833,317989.75221904856,0.630033,5000,192966.68,37.5933
C002423,Sure Things,0.001392,5296751.531648124,0.628767,5000,7373.08,0.4746
C019334,Persuadables,0.644719,99786.85656910462,0.627745,5000,64334.48,11.8669
C002886,Sure Things,0.001392,5208561.371166018,0.623909,5000,7250.32,0.4501
C006142,Sure Things,0.001376,5185522.385587201,0.622636,5000,7135.28,0.4271
C004625,Persuadables,0.621299,106520.4322916948,0.6221,5000,66181.04,12.2362
C000204,Sure Things,0.001555,5165825.759420563,0.621597,5000,8032.86,0.6066
C011818,Sure Things,0.001335,5165117.2811723,0.621501,5000,6895.43,0.3791
