customer_id,segment,priority_score,churn_prob_control,uplift_score,predicted_clv,clv_percentile,is_high_value,is_treatment,churned
C000000,저가치-Lost Causes,0.0,0.133706,-0.203721,0.0,11.7,0,0,0
C000001,저가치-Lost Causes,0.0,0.00081,-0.000132,7344991.729013495,37.2,0,1,0
C000002,저가치-Persuadables,13.55,0.677095,0.676552,14493672.30300793,67.1,0,0,1
C000003,저가치-Lost Causes,0.0,0.000558,-7e-05,16303791.375636175,70.5,0,1,0
C000004,신규고객,0.0,0.000727,-1.4e-05,82032484.47272247,91.2,1,0,0
C000005,저가치-Lost Causes,0.0,0.00054,-0.000737,0.0,11.7,0,0,0
C000006,저가치-Lost Causes,0.0,0.998527,-8.2e-05,0.0,11.7,0,1,1
C000007,저가치-Lost Causes,0.0,0.003444,-0.011261,0.0,11.7,0,0,0
C000008,고가치-Lost Causes,0.0,0.002322,-0.000231,26053451.78587168,86.5,1,0,0
C000009,신규고객,0.01,0.002075,0.000512,8678351.480460841,44.4,0,1,0
C000010,저가치-Lost Causes,0.0,0.020305,-0.019721,12773623.643122124,62.3,0,1,0
C000011,저가치-Lost Causes,0.0,0.997731,0.001884,0.0,11.7,0,1,1
C000012,신규고객,0.04,0.005396,0.002463,10358596.74376689,53.2,0,1,0
C000013,저가치-Lost Causes,0.0,0.997055,0.001233,0.0,11.7,0,1,1
C000014,신규고객,0.0,0.054394,-0.172617,7867307.667542725,39.9,0,0,0
C000015,신규고객,0.0,0.000678,4.1e-05,28044182.233449902,88.2,1,0,0
C000016,신규고객,-0.0,0.000692,-0.0,12421629.8394742,61.4,0,1,0
C000017,신규고객,0.01,0.000688,8.4e-05,104369347.72341605,95.2,1,0,0
C000018,저가치-Lost Causes,0.0,0.99865,0.00075,0.0,11.7,0,0,1
C000019,저가치-Lost Causes,0.01,0.002822,0.000931,9462915.897449162,48.4,0,1,0
C000020,저가치-Lost Causes,0.0,0.00034,-0.001027,0.0,11.7,0,1,0
C000021,저가치-Lost Causes,0.0,0.998321,6.6e-05,0.0,11.7,0,0,1
C000022,저가치-Lost Causes,0.0,0.000608,-8.7e-05,8796309.004686547,45.1,0,1,0
C000023,신규고객,13.26,0.776569,0.711035,13490307.820087047,64.8,0,0,1
C000024,저가치-Lost Causes,0.0,0.99865,4.2e-05,0.0,11.7,0,0,1
C000025,고가치-Sure Things,0.1,0.003594,0.002911,24369746.644500986,84.4,1,1,0
C000026,저가치-Lost Causes,0.0,0.000735,-0.000551,8725875.813068349,44.7,0,0,0
C000027,신규고객,0.0,0.000669,1e-06,101670300.23862591,94.6,1,1,0
C000028,신규고객,0.02,0.001437,0.0008,22610411.523000017,81.9,1,0,0
C000029,저가치-Lost Causes,0.06,0.012275,0.009841,4417158.967135331,27.1,0,0,0
C000030,신규고객,0.0,0.003925,-0.065587,0.0,11.7,0,0,0
C000031,신규고객,0.0,0.000635,-0.000104,14386711.879041558,66.9,0,0,0
C000032,저가치-Lost Causes,0.0,0.000929,7.3e-05,7676592.921081483,39.0,0,0,0
C000033,저가치-Lost Causes,0.24,0.034446,0.01573,11088914.069537928,56.4,0,0,0
C000034,신규고객,0.01,0.001773,0.000922,9946477.02721898,51.0,0,1,0
C000035,고가치-Sure Things,2.54,0.059669,0.059057,31104885.640304796,89.6,1,0,0
C000036,신규고객,0.0,0.006066,-0.003654,19100681.24599109,76.2,0,0,0
C000037,신규고객,0.0,0.000285,-0.000376,8241021.570568074,42.0,0,0,0
C000038,저가치-Lost Causes,0.0,0.000548,-0.000137,18655087.61927257,75.3,0,1,0
C000039,저가치-Lost Causes,0.01,0.001197,0.000522,14456016.71868518,67.1,0,0,0
C000040,저가치-Lost Causes,0.0,0.000661,-0.000324,10747821.246794067,55.2,0,1,0
C000041,신규고객,0.0,0.998401,0.00022,0.0,11.7,0,0,1
C000042,저가치-Lost Causes,0.0,0.003476,-0.017596,0.0,11.7,0,0,0
