customer_id,uplift_score,uplift_t_learner,uplift_x_learner,churn_prob_control,segment,is_treatment,churned
C000000,-0.203721,-0.203721,0.095146,0.133706,Sleeping Dogs,0,0
C000001,-0.000132,-0.000132,-0.057652,0.00081,Sleeping Dogs,1,0
C000002,0.676552,0.676552,-0.173364,0.677095,Persuadables,0,1
C000003,-7e-05,-7e-05,0.127641,0.000558,Sleeping Dogs,1,0
C000004,-1.4e-05,-1.4e-05,0.161355,0.000727,Sleeping Dogs,0,0
C000005,-0.000737,-0.000737,0.030463,0.00054,Sleeping Dogs,0,0
C000006,-8.2e-05,-8.2e-05,-0.076469,0.998527,Sleeping Dogs,1,1
C000007,-0.011261,-0.011261,-0.157132,0.003444,Sleeping Dogs,0,0
C000008,-0.000231,-0.000231,-0.14561,0.002322,Sleeping Dogs,0,0
C000009,0.000512,0.000512,0.334303,0.002075,Sure Things,1,0
C000010,-0.019721,-0.019721,0.256697,0.020305,Sleeping Dogs,1,0
C000011,0.001884,0.001884,-0.209027,0.997731,Lost Causes,1,1
C000012,0.002463,0.002463,0.013722,0.005396,Sure Things,1,0
C000013,0.001233,0.001233,-0.054258,0.997055,Lost Causes,1,1
C000014,-0.172617,-0.172617,-0.125531,0.054394,Sleeping Dogs,0,0
C000015,4.1e-05,4.1e-05,-0.347256,0.000678,Sure Things,0,0
C000016,-0.0,-0.0,0.084374,0.000692,Sleeping Dogs,1,0
C000017,8.4e-05,8.4e-05,-0.227325,0.000688,Sure Things,0,0
C000018,0.00075,0.00075,0.354351,0.99865,Lost Causes,0,1
C000019,0.000931,0.000931,-0.283276,0.002822,Sure Things,1,0
C000020,-0.001027,-0.001027,0.325041,0.00034,Sleeping Dogs,1,0
C000021,6.6e-05,6.6e-05,0.376719,0.998321,Lost Causes,0,1
C000022,-8.7e-05,-8.7e-05,-0.118898,0.000608,Sleeping Dogs,1,0
C000023,0.711035,0.711035,0.061811,0.776569,Persuadables,0,1
C000024,4.2e-05,4.2e-05,0.009283,0.99865,Lost Causes,0,1
C000025,0.002911,0.002911,0.408631,0.003594,Sure Things,1,0
C000026,-0.000551,-0.000551,-0.151389,0.000735,Sleeping Dogs,0,0
